ABL1	[15860359, 15799618, 15852399, 15854468, 15871685, 15824414, 15854547, 15796061, 15819819, 15815728, 15803362, 15860663, 15844661, 15842662, 15867198, 15820957, 15805294, 15850007, 15858616, 15796968, 15826304, 15795119, 15853662, 15863211, 15800710, 15850831, 15846067, 15820950, 15854550, 15857938, 15814334, 15867244, 15870923, 15850559, 15819723, 15865930, 15833859, 15846378, 15869901, 15870711, 15863197, 15805265, 15850832, 15800674, 15806158, 15875112, 15843824, 15867208, 15843827, 15840387, 15818402, 15817679, 15864744, 15830009, 15857289, 15822181, 15814335, 15848809, 15817681, 15871725, 15799239]
EBF2	[15818620, 15784880]
PNAS-4	[15769082, 15788899]
MYO9B	[9226381, 9490638, 11207612, 8954808, 12563277, 10580159]
SORBS1	[15867027, 15869992, 15864953, 15869936, 15872002, 15867868, 15871794, 15867862, 15867495, 15870276, 15871801]
ANKRD11	[15807261, 15781052, 15843067]
C1D	[15756978, 12379155, 12421302, 11801738, 12972615, 15148393, 14720311, 11311939]
GABRG2	[15690551, 14738422, 12694927, 12946574, 12672902, 12759178, 12086636, 15630072, 15598213, 14642997, 12384214, 15772696, 12117362, 15238507, 12083760, 12773292]
eIF2A	[12133843, 15718232]
PROM2	[15817864, 15774089, 15806388, 15838532]
PLXND1	[12412018, 15239959]
ANGPT2	[15746084, 15840779, 15769741, 15734895, 15870388, 15743799, 15718307, 15703373, 15742397, 15797260, 15856049, 15767056, 15818089, 15854255, 15871447, 15837070, 15823283, 15694966, 15774928, 15780956, 15802489]
GUSB	[15774881, 15289379, 15194052, 15012136, 14970691, 15110316, 15295619]
CALML5	[15715085, 15304086, 15335352]
RRAGC	[14660641, 11073942, 10675036, 10937870]
ATOH7	[15363391, 15677728]
TTPA	[15867164, 15862358, 15861260, 15871845, 15861865, 15862786, 15863522]
FPR1	[15850325, 15841395, 15853009, 15859027, 15843541, 15866865, 15854666, 15814083, 15840691, 15819703, 15860582, 15856411, 15814684, 15817833, 15820500, 15847608, 15820131]
B3GALT2	[9582303, 11058588]
SERF1A	[15762440, 14747070, 14715463, 15832920]
CLECSF12	[15774639, 15610833, 15685348, 14763619, 14629989, 12745031, 15729341, 12508899, 12647004, 15453514]
PVALB	[14516679, 11002340, 12617856, 8894053, 11736808, 1561106]
PTPN11	[15761018, 15749679, 15780810, 15817443, 15773517, 15834506, 15843645, 15840519, 15812190, 15728128, 15803084, 15761498, 15831705, 15842656, 15784894, 15850835, 15797385, 15730855, 15802656, 15790767, 15729738, 15738000, 15827150, 15752798, 15859398, 15755284, 15777605, 15857842, 15784906, 15777604, 15846637, 15868901, 15738685, 15845350, 15849355, 15737732, 15779668, 15853339, 15777603, 15780865, 15745156]
CDH12	[15776100, 15777387, 15780423, 15787813, 15776099, 15860843]
RGS9	[15640770, 15632198, 15829256, 15728856, 15870291]
LRPAP1	[15870384, 15840700, 15843503, 15838040, 15862268, 15840491, 15860303, 15856025, 15866190]
CNOT4	[15062086, 15116433]
HSD3B2	[15494460, 15632317, 15498889, 15615861, 15717863, 15666793, 15585552, 15642786]
FAU	[15871589, 15731059, 15733297, 15844724, 15780440, 15728378, 15811923, 15826234, 15772907]
DCTN1	[15780624, 15326253, 15123017, 15064825, 15118017, 15207272, 15149499, 15326042, 15363081, 15537496, 15228084, 15552418, 15194020, 15229368, 15281651, 15205653]
CGGBP1	[12910288, 10692448, 9201980, 14667814]
ZNF282	[15569151, 15620657]
NDUFB3	[15871861, 15871858, 15871859, 15871862]
TOR2A	[12910263]
CRB3	[15316081, 15324661]
SEC5L1	[15205466, 15583030, 15530367, 15037366, 15728258, 15848801, 15583031]
RHBDL1	[15850681]
CSE1L	[15874925, 15868945, 15866177, 15862996, 15868084, 15863926, 15870325, 15874821, 15864259, 15866214]
IFNA5	[7534379, 12100732, 11197304]
DSIPI	[15864732, 15868432, 15855251, 15864126, 15844480, 15859077, 15866371, 15871165]
C14orf4	[11095982, 15566486]
PARC	[15862338, 15869863, 15850555, 15848289, 15856478, 15863280, 15855537, 15870499, 15871812, 15842641, 15850795, 15872292, 15839709, 15855546, 15855492, 15844945]
AGA	[15859647, 15868974, 15871858, 15857586, 15859615, 15868963, 15871582, 15857596, 15866863, 15859614]
ARHGAP9	[15831536, 15841043, 15840821]
BCMP11	[8205000, 9371870, 12592373, 2233680]
TCFL1	[15647280, 15761159]
NEGR1	[15642341, 15384289, 15808174, 15583545]
TRPC1	[15728370, 15856275, 15829252, 15820394, 15763245, 15834157, 15815985, 15829947, 15758179, 15758951, 15731184, 15728185, 15757897]
STOM	[15211215, 15682396, 15524408, 15363129, 15593249, 15524414, 15471860, 15180870]
KIAA1546	[15375572, 11134355]
SPHK1	[15643073, 15741218, 15665242, 15870293, 15743396, 15302883, 15684337, 15485866, 15855330, 15637591, 15585953, 15367693, 15325271, 15848761, 15863357, 15459201, 15733975]
PANK2	[15858352, 15852393, 15862925, 15862364, 15843062, 15853047, 15854012, 15858342]
HDAC10	[11861901, 14871841, 15305372, 15323567, 14670976]
VDAC3	[14739283, 12606449, 14593090, 15008425, 11604508, 14759607]
CNTN1	[15871739, 15842232, 15870711, 15841919, 15861935, 15853990, 15866547]
OR1J2	[12438780, 14970674]
PARD6A	[15864623, 15842246, 15852979, 15815943, 15851115, 15852277]
ZNF92	[15494495, 15818492]
ZNF169	[9186526]
ASMTL	[9736779, 10747295]
TNKS	[15383534, 15652747, 15500951, 15094045, 15133513, 15795250, 15064417]
CSNK1A1	[15722192, 15811523, 15761601, 15713699, 15747065]
C18orf8	[15684324, 15772760]
CLASP2	[11290329, 12446741, 15631994]
TPSB2	[15871734, 15874874, 15875096, 15871836, 15870487, 15871628, 15870895]
PSMA7	[15863116, 15862504, 15851604, 15837655, 15872363, 15829730, 15866961, 15867937, 15869744, 15857386, 15845028, 15831705, 15862510, 15833713, 15841223, 15866139, 15832864, 15868801, 15871259, 15826198, 15862630, 15871478, 15848039, 15827273, 15872150, 15836611, 15834336, 15857145, 15834950, 15863085, 15838711]
MKRN2	[15735049, 11042152, 11597136]
RASD2	[14724584, 15199135, 14729638, 15197351]
RBPSUH	[15799560, 15792957, 15776997, 15850707, 15799563, 15776998, 15777657, 15790486, 15824737]
JARID1A	[15803180, 14717701, 15082762, 15509725, 12629047]
MAPK11	[15748168, 15604275, 15457451, 15808658, 15516490, 15640148, 15572410, 15755732, 15656798, 15833736, 15578697, 15452088, 15856211, 15588426]
RTDR1	[10607907]
EPB41L5	[12000997, 11433249]
SMYD1	[15863389, 15842265, 15857099, 15857078, 15857107]
DNAJB11	[15772513, 15646281, 15784599, 15730684]
PGD	[15820044, 15820046, 15866591, 15843042, 15823215, 15854652, 15820036, 15820047, 15866568, 15833774, 15855344]
PNMA3	[15847977]
SLC35C2	[12461647, 11247664, 11856893, 15525819]
CDC16	[15509780, 15474510, 15126629, 15060174, 15132994, 14675450]
SOCS1	[15778397, 15829701, 15707970, 15840809, 15788098, 15720527, 15797506, 15858899, 15781341, 15747239, 15793636, 15850793, 15868824, 15757867, 15721283, 15732224, 15850655, 15697113, 15728516, 15819327, 15815722, 15771564, 15801956, 15863899, 15864776]
MESDC2	[15871589, 15871940, 15853325, 15865508]
EIF3S9	[15703437, 15762782, 15718232]
STK24	[15599310, 15165088, 15688006, 15304321, 15618521]
NEB	[15627128, 15689528, 15836224, 15867702, 15795898, 15663014, 15663013, 15615219, 15643400, 15663012, 15859657, 15695834, 15862101, 15822201, 15663016]
RAB23	[14617350, 15811530, 15721142]
EDNRA	[15853338, 15852821, 15852123, 15861262, 15852109, 15853326, 15852301, 15863060, 15852111, 15856574, 15853313, 15856112, 15853628, 15856571, 15872271, 15863473, 15853339, 15867468]
GJA1	[15860082, 15843424, 15846601, 15851562, 15850607, 15870950, 15850572, 15860146, 15839501, 15839499, 15860437, 15862319, 15872032, 15843434, 15846511, 15843167, 15855773, 15848218, 15847547, 15860444, 15856457, 15870103, 15865310, 15870454, 15860477, 15851404, 15847376, 15870276, 15867155, 15869354, 15863789, 15845896, 15855237, 15842144, 15864639, 15851157, 15846208]
CACNA2D1	[15317151, 15456823, 15846778, 15315511, 15208675]
EEF1E1	[15870007, 15847943, 15867383]
GRCC9	[15713673, 15220335, 15692743, 15456889]
