#disease_state	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53
Probesets	GSM79144	GSM79118	GSM79147	GSM79241	GSM79122	GSM79227
200065_s_at	11.192345	11.657455	11.858686	11.675838	11.640732	11.265442
200066_at	7.965613	9.937514	8.911979	8.727736	9.325062	8.259375
200067_x_at	9.890163	9.879886	10.350213	9.2724	10.155012	10.076275
200068_s_at	10.871165	11.822558	10.99184	11.607606	11.075502	11.24017
200069_at	7.282311	7.247348	7.701367	7.741505	7.5064	7.863793
200070_at	7.875193	8.125964	8.071067	8.520543	8.479513	7.920481
200071_at	7.100709	7.529551	8.649244	8.287638	8.339576	8.046885
200072_s_at	9.023807	9.10907	9.963959	9.401896	8.937659	10.436175
200073_s_at	8.583386	9.445978	10.147089	8.771368	9.083814	9.304201
200074_s_at	10.366277	10.909291	10.710054	11.110039	10.796636	11.625065
200075_s_at	10.116737	9.765669	10.775985	9.637239	9.922363	9.434063
200076_s_at	8.306244	8.308443	8.627333	8.288345	9.391051	8.499448
200077_s_at	12.585112	12.466528	12.449259	12.463576	12.3598	12.532848
200078_s_at	10.19848	10.670884	10.527871	11.408952	9.596949	10.079039
200079_s_at	9.251737	9.679221	10.980901	9.427559	10.678576	9.619592
200080_s_at	10.953289	11.500129	11.697432	11.330207	11.290659	10.957225
200081_s_at	11.546467	12.24688	12.074411	11.78106	11.563688	12.547923
200082_s_at	11.472828	11.452968	11.558803	11.417748	11.695574	11.295657
200083_at	9.426479	9.576315	8.571302	10.488701	9.644405	8.850645
200084_at	9.070746	10.169666	10.585882	10.083511	9.55455	10.406197
200085_s_at	10.109387	10.987196	10.133442	10.38103	9.967246	10.090954
200086_s_at	10.712774	10.507963	11.602393	10.283812	11.204106	11.206163
200087_s_at	10.83843	10.660549	10.774644	11.260762	10.707948	11.30542
200088_x_at	12.21557	12.238698	12.613278	12.018959	12.58661	12.442961
200089_s_at	11.014074	10.870279	11.076492	11.146279	11.306622	11.081867
200090_at	10.408315	10.15851	10.739833	10.507999	9.860852	10.52139
200091_s_at	10.174524	10.815593	10.866024	10.485107	10.429959	10.801882
200092_s_at	12.216853	11.889437	12.102204	11.318029	11.630091	11.883059
200093_s_at	8.294524	9.410329	9.492504	9.10691	9.010625	9.612853
200094_s_at	11.279997	10.975712	11.090886	10.964719	10.979231	11.231147
200095_x_at	13.261271	13.257798	13.246522	13.300602	13.24881	13.273688
200096_s_at	9.189463	10.564947	10.311585	10.506935	9.372121	10.14046
200097_s_at	9.433528	9.610081	10.208708	9.61987	9.859231	9.631153
200098_s_at	10.059201	9.777975	9.502341	10.379345	10.413667	10.353173
200099_s_at	11.589044	11.150912	11.535584	11.636789	12.038655	12.083899
1007_s_at	11.146479	11.053613	10.812288	11.187675	11.391408	10.463766
1053_at	6.914651	6.781629	7.161958	6.58378	7.169306	7.142645
117_at	7.177826	7.076383	6.968407	7.149653	6.994891	7.300279
121_at	9.409949	9.148753	8.837847	8.953878	9.293886	9.393
1255_g_at	4.433373	4.160969	4.118588	4.163684	4.261568	4.210736
1294_at	7.911865	8.538623	8.564658	8.308426	8.412967	8.169842
1316_at	5.9258	5.622937	5.614696	5.709687	5.77617	5.783529
1320_at	5.266837	5.110212	5.356973	5.171593	5.151629	5.305522
1405_i_at	7.442899	8.319963	8.607701	8.2784	7.116097	9.06251
1431_at	4.112139	4.133808	3.816919	4.024935	4.037705	3.980077
1438_at	7.566751	7.888217	7.911282	7.427323	8.684001	8.907389
1487_at	7.961775	8.175299	7.915024	7.870937	7.865792	7.807102
1494_f_at	7.392053	8.717184	6.92081	7.052996	7.146414	7.211004
1598_g_at	10.470276	10.735676	9.950251	10.089699	10.083366	10.761596
160020_at	9.670397	9.608194	9.654809	9.264945	9.563866	9.389378
1729_at	7.942503	7.866341	8.394435	7.776326	8.474561	7.97761
1773_at	6.23921	6.177765	6.366916	6.216075	6.225794	6.533406
177_at	6.173188	5.917723	6.118806	5.822287	6.276996	6.349402
179_at	9.257271	8.914986	8.746285	9.001632	9.012222	9.115336
