ABCB1	17361121,17372036,17376299,17377214,17377957,17387584,17391324,17392393,17610314,17611654,17622943,17635176,17635180,17635182,17636884,17652833,17653693,17662696,17665184,17667922,17671692,17038891,17042920,17043887,17047492,17049058,17050796,17054409,17062699,17674045,17688368,17696319,17697203,17700364,17700595,17701008,17706648,17785057,17803828,17828752,17828778,17851225,17875118,17875533,17880367,17885624,17885626,17890284,17891478,17898703,17913048,17913323,17917461,17919092,17922049,17922881,17924830,17925548,17938643,17940136,17954267,17955490,18004247,18028890,18056183,18058465,18059532,18075465,18080812,18086475,18090046,18091560,18095031,18165917,18192894,17328248,17332941,17340137,17352764,17354009,16542858,16547352,16566920,16580900,16584389,16595916,16608921,16614510,17394131,17404720,17409824,17409981,17417072,17418094,17425754,17434155,17443726,17445775,17460550,17468018,17488488,17489883,17492365,17495881,17505995,17510208,17517050,17519790,17521963,17523278,17524504,17526808,17526937,17529887,17530867,17534875,17541155,17541169,17541883,17542018,17545060,17545536,17548493,17548681,17548683,17548929,17549370,17551301,17556798,17559192,17559997,17560460,17568575,17568669,17577681,17579122,17596751,17608636,17608770,17015054,17020985,17027968,17032130,17033200,16091741,16103896,16138223,16138358,16141933,16142320,16146331,16146556,17080296,17083370,17085864,17088979,17100974,17107902,17108809,17112800,17112845,17112846,17113562,17113599,17120199,17125969,17142980,17146660,17148033,17148776,17157997,17165089,17177989,17178267,17178268,17181924,17184596,17185560,17187507,17190370,17192767,17198259,17198275,17202846,17206635,17220567,17225463,17242936,17255262,17255827,17259654,17260353,17262809,17262810,17283040,17286792,17296590,17300681,17301692,17301693,17306068,17312388,17324111,16521213,16523342,16531628,16538177,16542205,15542593,15543762,15547738,15563462,15570194,15588114,15592326,15598974,16628701,16633048,16648557,16679408,16691488,16702732,16704962,16721513,16722833,16723498,16733848,16740770,16753003,16753004,16765145,16769591,16771603,16773437,16773678,16788565,16791115,16797284,16800822,16819187,16821592,16827636,16830791,16842392,16844693,16847425,16847760,16857572,16869811,16896007,16906020,16912957,16926592,16929535,16930597,16932953,16946557,16950614,16953066,16953664,16956878,16960658,16969296,16990202,16999857,17011724,17015051,16041239,16042402,16042669,16044113,16083877,14586389,14600574,14610718,14631505,14640677,14646693,14662772,14676821,16168133,16170863,16206189,16214115,16220110,16223781,16239972,16249748,16259010,16267764,16277027,16277030,16278376,16278398,16284462,16288004,16299241,16305727,16306861,16315033,16321374,16321621,16331555,16331627,16338276,16338277,16355344,16374256,16380805,16381901,16382213,16382445,16386826,16386926,16409819,16410721,16413242,16431292,16434479,16434865,16462040,16467099,16478794,16481289,16489767,16492138,16494108,16505485,16505951,16507781,16513443,15521904,15535131,15535420,15536457,15542248,12368167,12389613,12392094,12406646,12408767,12424247,12426521,12426522,15618625,15618700,15618713,15622315,15651752,15659247,15665957,15671173,15685540,15690482,15696166,15704610,15707415,15709212,15713537,15717687,15718846,15725475,15750390,15767512,15772250,15778421,15778422,15784621,15801936,15808585,15813023,15814280,15832500,15857428,15886424,15901749,15912392,15917726,15919446,15919447,15931768,15934943,15936020,15947495,15950972,15952872,15961534,15961978,15962371,15964250,15974580,15975076,15976989,16002074,16004559,14580164,14583678,14583679,14583680,14583799,10790226,11076863,11230166,11240981,11258197,11337937,11356939,11463358,14711599,14747421,14749322,14752243,14767809,14769796,14962262,14976162,14984901,15015771,15033457,15059065,15081455,15083070,15084935,15089809,15102684,15102868,15115917,15116055,15131592,15138130,15159385,15167702,15179406,15203864,15226675,15226679,15234575,15247215,15247630,15256718,15257034,15272088,15277258,15280437,15288699,15312098,15339676,15351976,15371983,15379547,15382145,15452305,15452306,15487808,15488952,15489336,15498565,15502717,15505619,12223492,12226074,12237135,12360103,12360104,1976255,2568832,2571078,2876781,2891692,2897240,3022150,3027054,12437356,12441809,12452027,12485913,12490309,12492608,12493773,12512026,12527911,12545080,12545142,12548153,12565174,12566917,12576456,12592352,12593536,12604403,12609990,12653559,12662900,12684679,12686700,12690205,12698307,12711602,12724617,12739761,12777401,12781336,12804765,12805007,12810067,12810633,12817518,12819037,12819250,12848778,12851703,12853948,12879168,12907627,12909621,12960109,12966368,12968025,12969965,14522974,14563443,14563687,14576852,9473242,9542318,9885221,10441477,10716719,11502320,11503014,11536079,11563129,11683237,11697464,11727264,11771758,11786185,11809184,11829140,11855781,11865062,11891276,11908757,11925925,11934808,11937269,11949840,11960367,11976833,11980438,11986944,11989822,11990778,11990782,12010657,12011154,12031911,12055198,12065748,12070134,12073053,12082591,12084474,12089380,12091325,12112526,12125964,12130511,12145328,12152989,12163030,12172212,12172213,12174914,12175731,12177731,12189368,12202670,12208746,1360409,1967175,1972623,3477522,3768958,7621073,7909431,8898203,9029166,9038218,9272126
ABCB10	12477932,10748049,7766993,10922475,11829140,15252450,15215243
ABCB10P	10922475,7766993
ABCB11	11783115,11815775,11829140,12825874,14762791,14999697,15077010,15159385,15300568,15471871,15791618,16039748,16290310,16749857,16763017,16871584,16890614,16941683,11745042,11600213,11495894,11172067,10579978,9806540,9545351,17264802,17622941,18176959
ABCB4	12388190,12477932,12690205,12746424,12853948,12891548,14527955,14999697,15077010,15159385,15258199,16696816,16763017,16854530,16857572,16890614,16891356,17187437,17264802,17523162,17562004,17726488,17786139,18083082,7893760,7912266,7912658,8106172,8898203,9419367,9542318,9923886,10767346,11313316,11745043,12206920,12381474,2002063,2892668,2906314,3477522,7734012
ABCB5	15760339,15899824,18202660,8894702,15489334,12477932,12690205,12960149,15205344,9542318
ABCB6	11977179,12477932,11955620,10837493,9288777,9110174,8894702,8619474,15489334,16791740,14702039,17661442,17006453
ABCB7	8894702,17941052,15772651,15489334,14702039,12480705,12477932,11843825,11050011,11042152,10196363,9883897,9653160,9143506,9621516
ABCB8	14702039,12477932,11829140,9878413,9373149,8894702,8125298,16344560
ABCB9	15302935,15489334,15491607,15863492,16344560,16554024,17977821,18175933,14702039,13679046,12477932,11829140,11011155,10819331,10748049,8889548,8894702
