affy_Mouse430_2
Probe ID	Genbank Acc
1416217_a_at	NM_009084
1416218_x_at	NM_009084
1416219_at	NM_009078
1416220_at	NM_026911
1416221_at	BI452727
1416222_at	BC019945
1416223_at	NM_024480
1416224_at	NM_009541
1416225_at	BC013477
1416226_at	BE979985
1416227_at	BE979985
1416228_at	NM_023371
1416229_at	NM_019437
1416230_at	NM_019437
1416231_at	NM_138588
1416232_at	AB038697
1416233_at	NM_018799
1416234_at	AW476171
1416235_at	AW476171
1416236_a_at	BC015076
1416237_at	BC015076
1416238_at	NM_011587
1416239_at	NM_007494
1416240_at	NM_011187
1416241_at	NM_024206
1416242_at	NM_026167
1416243_a_at	NM_025592
1416244_a_at	NM_013493
1416245_at	NM_025338
1416246_a_at	BC002136
1416247_at	NM_016890
1416248_at	AW538068
1416249_at	AW538068
1416250_at	NM_007570
1416251_at	NM_008567
1416252_at	NM_134115
1416253_at	BC013898
1416254_a_at	NM_030559
1416255_at	AF216832
1416256_a_at	NM_011655
1416257_at	NM_009794
1416258_at	NM_009387
1416259_at	NM_134025
1416260_a_at	NM_019727
1416261_at	AK018383
1416262_at	AK018383
1416263_at	AB045382
1416264_at	AB045382
1416265_at	NM_011796
1416266_at	AF026537
1416267_at	NM_019708
1416268_at	BC005486
1416269_at	NM_020582
1416270_at	NM_026329
1416271_at	NM_022032
1416272_at	NM_019920
1416273_at	NM_009396
1416274_at	NM_031251
1416275_at	NM_134420
1416276_a_at	NM_009094
1416277_a_at	NM_018853
1416278_a_at	NM_138597
1416279_at	BC008513
1416280_at	NM_016682
1416281_at	BC004595
1416282_at	NM_008948
1416283_at	NM_010256
1416284_at	NM_024227
1416285_at	NM_025523
1416286_at	NM_009062
1416287_at	NM_009062
1416288_at	BF141076
1416289_at	NM_011122
1416290_a_at	NM_011874
1416291_at	NM_011874
1416292_at	NM_007452
1416293_at	BB832504
1416294_at	NM_011886
1416295_a_at	L20048
1416296_at	L20048
1416297_s_at	NM_011036
1416298_at	NM_013599
1416299_at	NM_011369
1416300_a_at	NM_133668
1416301_a_at	BB125261
1416302_at	BB125261
1416303_at	AV360881
1416304_at	AV360881
1416305_at	NM_133816
1416306_at	NM_017474
1416307_at	NM_007456
1416308_at	NM_009466
1416309_at	BC009096
1416310_at	BC009096
1416311_s_at	NM_009446
1416312_at	NM_025936
1416313_at	NM_019914
1416314_at	NM_019914
1416315_at	NM_134076
1416316_at	BC013442
1416317_a_at	AA289490
1416318_at	AF426024
1416319_at	NM_134079
1416320_at	NM_133704
1416321_s_at	NM_054077
1416322_at	NM_054077
1416323_at	AV281062
1416324_s_at	AV281062
1416325_at	NM_009638
1416326_at	NM_007763
1416327_at	NM_025388
1416328_a_at	NM_025272
1416329_at	NM_011370
1416330_at	NM_133655
1416331_a_at	NM_008686
1416332_at	NM_007705
1416333_at	NM_010071
1416334_at	NM_019573
1416335_at	NM_010798
1416336_s_at	NM_009226
1416337_at	NM_026219
1416338_at	NM_013664
1416339_a_at	NM_008925
1416340_a_at	BC005430
1416341_at	NM_009090
1416342_at	NM_011607
1416343_a_at	NM_010685
1416344_at	NM_010685
1416345_at	W82151
1416346_at	W82151
1416347_at	AB023401
1416348_at	AB023401
1416349_at	NM_053162
1416350_at	NM_078477
1416351_at	NM_008927
1416352_s_at	NM_134118
1416353_at	NM_009473
1416354_at	NM_011252
1416355_at	NM_011252
1416356_at	NM_134075
1416357_a_at	NM_023061
1416358_at	NM_026660
1416359_at	AV344473
1416360_at	AV344473
1416361_a_at	NM_010063
1416362_a_at	BB456860
1416363_at	BB456860
1416364_at	BI154147
1416365_at	BI154147
1416366_at	NM_024220
1416367_at	NM_025363
1416368_at	NM_010357
1416369_at	NM_133680
1416370_at	NM_011757
1416371_at	NM_007470
1416372_at	NM_008959
1416373_at	NM_010911
1416374_at	AF242857
1416375_at	AF242857
1416376_at	NM_133706
1416377_at	NM_016688
1416378_at	NM_021549
1416379_at	NM_019482
1416380_at	NM_008619
1416381_a_at	BC008174
1416382_at	NM_009982
1416383_a_at	NM_008797
1416384_a_at	NM_021538
1416385_a_at	NM_010749
1416386_a_at	NM_010749
1416387_at	NM_054097
1416388_at	NM_054097
1416389_a_at	NM_134083
1416390_at	NM_134083
1416391_at	NM_133735
1416392_a_at	NM_009729
1416393_at	NM_013536
1416394_at	NM_009736
1416395_at	BC024625
1416396_at	NM_080557
1416397_at	BB474887
1416398_at	BB474887
1416399_a_at	NM_010443
1416400_at	NM_025412
1416401_at	NM_007656
1416402_at	AV382118
1416403_at	AV382118
1416404_s_at	NM_013647
1416405_at	BC019502
1416406_at	AI323543
1416407_at	AI323543
1416408_at	AB034914
1416409_at	AB034914
1416410_at	NM_008776
1416411_at	NM_008183
1416412_at	NM_010945
1416413_at	NM_012007
1416414_at	NM_133918
1416415_a_at	AY074806
1416416_x_at	NM_010358
1416417_a_at	NM_025843
1416418_at	AF180518
1416419_s_at	AF180518
1416420_a_at	NM_011292
1416421_a_at	BG796845
1416422_a_at	BG796845
1416423_x_at	BG796845
1416424_at	BC011116
1416425_at	NM_023041
1416426_at	NM_025887
1416427_at	NM_017367
1416428_at	NM_021513
1416429_a_at	NM_009804
1416430_at	NM_009804
1416431_at	NM_026473
1416432_at	NM_133232
1416433_at	BC004578
1416434_at	NM_013479
1416435_at	NM_010736
1416436_a_at	NM_018888
1416437_a_at	AF262046
1416438_at	NM_133691
1416439_at	NM_023203
1416440_at	NM_016898
1416441_at	BB468025
1416442_at	NM_010499
1416443_a_at	NM_019748
1416444_at	NM_019423
1416445_at	NM_133747
1416446_at	BE986812
1416447_at	BE986812
1416448_at	NM_025922
1416449_x_at	BC008102
1416450_at	NM_022015
1416451_s_at	NM_022015
1416452_at	BC008119
1416453_x_at	NM_011295
